DateTime	sewer_and_water	power	roads_and_bridges	medical	buildings	shake_intensity	location
2020-04-06 00:00:00	9.0	7.0	5.0	0.0	4.0	0.0	8
2020-04-06 00:05:00	3.6	5.6	4.0	0.0	5.4	0.0	8
2020-04-06 00:15:00	7.0	5.0	7.75	0.0	6.0	0.0	8
2020-04-06 00:25:00	1.5	7.0	5.5	0.0	3.0	0.0	8
2020-04-06 00:45:00	0.0	7.0	6.0	0.0	0.0	0.0	8
2020-04-06 01:10:00	10.0	6.0	7.0	0.0	10.0	0.0	8
2020-04-06 01:15:00	6.25	2.75	4.25	0.0	5.75	0.0	8
2020-04-06 01:45:00	8.0	8.0	10.0	0.0	10.0	0.0	8
2020-04-06 01:50:00	5.666666666666667	4.0	7.333333333333333	0.0	7.333333333333333	0.3333333333333333	8
2020-04-06 01:55:00	6.0	4.5	0.5	0.0	10.0	0.0	8
2020-04-06 02:10:00	9.0	2.5	8.0	0.0	9.5	0.0	8
2020-04-06 02:15:00	7.0	8.0	10.0	0.0	6.0	0.0	8
2020-04-06 02:30:00	3.0	1.0	5.0	0.0	8.0	0.0	8
2020-04-06 02:35:00	3.5	7.5	3.0	0.0	3.75	0.25	8
2020-04-06 02:40:00	5.0	3.0	6.0	0.0	10.0	0.0	8
2020-04-06 02:50:00	6.0	10.0	10.0	0.0	5.0	1.0	8
2020-04-06 03:00:00	0.0	7.0	5.0	0.0	0.0	0.0	8
2020-04-06 03:05:00	0.0	9.0	4.0	0.0	3.0	0.0	8
2020-04-06 03:15:00	7.5	2.5	7.5	0.0	6.0	0.0	8
2020-04-06 03:20:00	7.0	10.0	2.0	0.0	5.0	0.0	8
2020-04-06 03:40:00	5.0	2.0	8.5	0.0	4.5	0.5	8
2020-04-06 03:45:00	1.0	3.0	0.0	0.0	2.0	0.0	8
2020-04-06 03:50:00	1.0	10.0	4.0	0.0	5.0	0.0	8
2020-04-06 03:55:00	5.5	2.0	6.0	0.0	8.5	0.0	8
2020-04-06 04:00:00	3.0	5.0	4.5	0.0	4.5	0.0	8
2020-04-06 04:05:00	4.0	6.5	6.0	0.0	4.5	0.0	8
2020-04-06 04:10:00	3.75	6.0	4.5	0.0	2.75	0.0	8
2020-04-06 04:15:00	8.5	4.5	6.5	0.0	3.0	0.0	8
2020-04-06 04:25:00	7.0	10.0	10.0	0.0	2.0	0.0	8
2020-04-06 04:30:00	6.5	4.5	9.0	0.0	3.5	0.0	8
2020-04-06 04:35:00	8.0	0.0	8.0	0.0	9.0	0.0	8
2020-04-06 04:45:00	10.0	9.0	5.0	0.0	5.0	1.0	8
2020-04-06 04:55:00	8.0	8.0	0.0	0.0	8.0	0.0	8
2020-04-06 05:15:00	4.0	0.0	0.0	0.0	0.0	1.0	8
2020-04-06 05:20:00	5.333333333333333	4.0	2.6666666666666665	0.0	2.3333333333333335	0.0	8
2020-04-06 05:35:00	1.0	6.0	9.0	0.0	6.0	0.0	8
2020-04-06 05:45:00	10.0	4.0	8.0	0.0	1.0	1.0	8
2020-04-06 05:50:00	1.0	5.0	10.0	0.0	8.0	0.0	8
2020-04-06 06:00:00	4.0	8.5	3.5	0.0	6.5	0.0	8
2020-04-06 06:05:00	0.0	9.0	6.0	0.0	3.0	0.0	8
2020-04-06 06:10:00	5.333333333333333	7.0	5.666666666666667	0.0	7.666666666666667	0.0	8
2020-04-06 06:15:00	10.0	1.0	7.0	0.0	5.0	0.0	8
2020-04-06 06:20:00	7.0	4.0	7.0	0.0	1.0	0.0	8
2020-04-06 06:35:00	4.5	5.5	7.0	0.0	8.5	0.0	8
2020-04-06 06:45:00	2.0	4.0	10.0	0.0	2.0	0.0	8
2020-04-06 06:50:00	1.0	8.0	5.0	0.0	6.0	0.0	8
2020-04-06 06:55:00	8.0	8.0	1.0	0.0	5.0	0.0	8
2020-04-06 07:00:00	7.0	7.0	3.0	0.0	6.0	0.0	8
2020-04-06 07:05:00	2.5	7.0	7.0	0.0	2.5	0.0	8
2020-04-06 07:10:00	5.5	6.5	9.5	0.0	4.5	0.0	8
2020-04-06 07:15:00	1.0	3.0	3.0	0.0	1.0	0.0	8
2020-04-06 07:20:00	4.0	6.0	1.0	0.0	10.0	0.0	8
2020-04-06 07:30:00	8.0	4.0	5.0	0.0	1.0	0.0	8
2020-04-06 07:40:00	6.0	6.0	9.0	0.0	6.0	0.0	8
2020-04-06 07:45:00	4.5	8.0	6.5	0.0	5.5	0.0	8
2020-04-06 08:00:00	6.0	10.0	2.0	0.0	4.0	0.0	8
2020-04-06 08:05:00	8.333333333333334	6.0	4.666666666666667	0.0	7.333333333333333	0.0	8
2020-04-06 08:10:00	8.0	10.0	10.0	0.0	10.0	0.0	8
2020-04-06 08:25:00	0.0	10.0	10.0	0.0	1.0	0.0	8
2020-04-06 08:30:00	0.0	1.0	10.0	0.0	0.0	0.0	8
2020-04-06 08:35:00	5.0	6.0	0.0	0.0	1.0	0.0	8
2020-04-06 08:40:00	2.0	2.0	1.0	0.0	0.0	0.0	8
2020-04-06 08:45:00	2.5	7.0	10.0	0.0	3.0	0.0	8
2020-04-06 08:55:00	4.0	10.0	3.0	0.0	3.0	0.0	8
2020-04-06 09:05:00	0.0	2.0	9.0	0.0	6.0	0.0	8
2020-04-06 09:15:00	5.5	5.5	8.5	0.0	4.5	0.0	8
2020-04-06 09:30:00	0.0	7.0	2.0	0.0	2.0	0.0	8
2020-04-06 09:35:00	1.5	6.5	8.0	0.0	4.5	0.0	8
2020-04-06 09:45:00	7.0	10.0	10.0	0.0	0.0	0.0	8
2020-04-06 09:50:00	9.0	9.0	2.0	0.0	5.0	0.0	8
2020-04-06 10:00:00	7.0	7.0	1.0	0.0	4.0	0.0	8
2020-04-06 10:10:00	9.0	5.0	2.0	0.0	8.0	0.0	8
2020-04-06 10:20:00	4.0	8.0	10.0	0.0	10.0	0.0	8
2020-04-06 10:25:00	3.0	2.0	8.0	1.0	9.0	0.0	8
2020-04-06 10:40:00	7.0	3.0	1.0	0.0	1.0	0.0	8
2020-04-06 10:45:00	2.0	7.0	7.0	0.0	9.0	0.0	8
2020-04-06 11:00:00	6.0	9.0	9.0	0.0	3.0	0.0	8
2020-04-06 11:05:00	2.0	10.0	5.0	0.0	7.0	1.0	8
2020-04-06 11:20:00	5.5	3.5	6.0	0.0	6.0	0.5	8
2020-04-06 11:30:00	0.0	6.0	2.0	0.0	10.0	1.0	8
2020-04-06 11:35:00	3.0	8.0	8.0	0.0	6.0	0.0	8
2020-04-06 11:40:00	2.0	1.5	2.5	0.0	8.5	1.0	8
2020-04-06 11:45:00	5.0	10.0	1.0	0.0	6.0	0.0	8
2020-04-06 11:50:00	8.0	7.0	8.5	0.0	2.0	0.0	8
2020-04-06 12:00:00	10.0	1.0	2.0	0.0	10.0	0.0	8
2020-04-06 12:05:00	4.5	5.5	5.5	0.0	6.5	0.0	8
2020-04-06 12:10:00	6.5	3.5	3.5	0.0	4.0	0.0	8
2020-04-06 12:15:00	0.5	5.0	7.0	0.0	4.0	0.5	8
2020-04-06 12:20:00	6.0	7.0	4.0	0.0	4.0	0.0	8
2020-04-06 12:25:00	2.3333333333333335	5.333333333333333	1.3333333333333333	0.0	7.0	0.0	8
2020-04-06 12:30:00	3.0	8.0	5.0	0.0	6.0	0.0	8
2020-04-06 12:35:00	9.5	6.5	3.0	0.0	3.0	0.0	8
2020-04-06 12:40:00	8.5	4.5	4.5	0.0	8.5	0.0	8
2020-04-06 12:45:00	7.0	10.0	5.0	0.0	10.0	0.0	8
2020-04-06 12:50:00	8.0	6.0	4.0	0.0	6.0	0.0	8
2020-04-06 13:00:00	7.0	8.0	2.0	0.0	10.0	0.0	8
2020-04-06 13:10:00	8.0	0.0	3.0	0.0	10.0	0.0	8
2020-04-06 13:15:00	4.0	6.0	2.0	0.0	6.0	0.0	8
2020-04-06 13:20:00	4.0	4.0	3.0	0.0	7.0	0.0	8
2020-04-06 13:25:00	10.0	4.0	5.0	0.0	6.0	0.0	8
2020-04-06 13:35:00	2.0	6.0	5.166666666666667	0.0	5.5	0.16666666666666666	8
2020-04-06 13:40:00	5.5	5.0	1.5	0.0	3.5	0.0	8
2020-04-06 13:50:00	0.0	0.0	9.0	0.0	4.0	0.0	8
2020-04-06 13:55:00	3.5	3.0	1.5	0.0	5.0	0.5	8
2020-04-06 14:10:00	10.0	7.0	2.0	0.0	1.0	0.0	8
2020-04-06 14:20:00	10.0	4.0	3.0	0.0	6.0	0.0	8
2020-04-06 14:30:00	5.0	3.5	6.5	0.0	1.0	0.0	8
2020-04-06 14:35:00	1.2857142857142858	1.8571428571428572	2.7142857142857144	0.0	3.5714285714285716	0.0	8
2020-04-06 14:40:00	0.5	0.5	1.5	0.0	4.0	1.0	8
2020-04-06 14:45:00	0.0	0.0	1.5	0.0	3.0	0.0	8
2020-04-06 14:50:00	0.2	2.0	3.6	0.0	2.4	0.2	8
2020-04-06 14:55:00	1.2	0.2	3.4	0.0	2.8	0.0	8
2020-04-06 15:00:00	1.0	1.0	1.0	0.0	2.5	0.0	8
2020-04-06 15:05:00	0.0	0.2	2.0	0.0	3.4	0.2	8
2020-04-06 15:10:00	0.3333333333333333	3.6666666666666665	5.0	0.0	7.333333333333333	0.0	8
2020-04-06 15:15:00	0.0	0.0	2.0	0.0	3.0	0.0	8
2020-04-06 15:20:00	3.3333333333333335	0.6666666666666666	4.333333333333333	0.0	5.0	0.3333333333333333	8
2020-04-06 15:25:00	4.333333333333333	3.0	2.1666666666666665	0.0	4.666666666666667	0.16666666666666666	8
2020-04-06 15:30:00	0.75	0.0	2.25	1.75	3.25	0.0	8
2020-04-06 15:40:00	1.6666666666666667	2.1666666666666665	3.3333333333333335	0.0	3.8333333333333335	0.3333333333333333	8
2020-04-06 15:45:00	0.5	0.0	2.0	0.0	2.5	0.25	8
2020-04-06 15:50:00	0.5	0.0	1.5	0.0	3.0	0.0	8
2020-04-06 15:55:00	4.333333333333333	3.3333333333333335	2.6666666666666665	0.0	6.0	0.0	8
2020-04-06 16:00:00	0.18181818181818182	0.36363636363636365	2.272727272727273	0.0	3.272727272727273	0.2727272727272727	8
2020-04-06 16:05:00	0.391304347826087	0.21739130434782608	2.0	0.0	2.8260869565217392	0.21739130434782608	8
2020-04-06 16:10:00	1.0	0.8461538461538461	1.5384615384615385	0.0	3.0	0.3076923076923077	8
2020-04-06 16:15:00	0.3888888888888889	0.3888888888888889	1.7222222222222223	0.0	3.111111111111111	0.2777777777777778	8
2020-04-06 16:20:00	0.6666666666666666	1.3888888888888888	2.0555555555555554	0.0	3.1666666666666665	0.16666666666666666	8
2020-04-06 16:25:00	0.2777777777777778	0.4444444444444444	2.111111111111111	0.0	2.7222222222222223	0.2222222222222222	8
2020-04-06 16:30:00	0.1111111111111111	0.2777777777777778	2.0	0.0	3.111111111111111	0.05555555555555555	8
2020-04-06 16:35:00	0.7368421052631579	0.6842105263157895	2.1578947368421053	0.0	3.263157894736842	0.3157894736842105	8
2020-04-06 16:40:00	0.25	0.85	1.95	0.0	2.75	0.25	8
2020-04-06 16:45:00	0.6666666666666666	0.6666666666666666	2.2	0.0	3.533333333333333	0.26666666666666666	8
2020-04-06 16:50:00	0.3333333333333333	0.16666666666666666	1.6666666666666667	0.0	3.0833333333333335	0.16666666666666666	8
2020-04-06 16:55:00	1.0	0.45454545454545453	2.090909090909091	0.0	3.4545454545454546	0.2727272727272727	8
2020-04-06 17:00:00	0.09090909090909091	0.2727272727272727	2.0	0.0	3.272727272727273	0.36363636363636365	8
2020-04-06 17:05:00	0.125	0.25	1.875	0.0	3.25	0.0	8
2020-04-06 17:10:00	0.5	0.75	2.75	0.0	3.25	0.375	8
2020-04-06 17:15:00	0.5	0.5	1.5	0.0	2.75	0.25	8
2020-04-06 17:20:00	1.1666666666666667	0.08333333333333333	1.8333333333333333	0.0	3.1666666666666665	0.3333333333333333	8
2020-04-06 17:25:00	2.2	1.0	2.0	0.0	4.6	0.0	8
2020-04-06 17:30:00	2.2222222222222223	1.7777777777777777	3.0	0.0	3.2222222222222223	0.2222222222222222	8
2020-04-06 17:35:00	0.5555555555555556	0.1111111111111111	2.0	1.1111111111111112	2.6666666666666665	0.0	8
2020-04-06 17:40:00	0.0	0.16666666666666666	2.5	0.0	2.6666666666666665	0.16666666666666666	8
2020-04-06 17:45:00	0.16666666666666666	0.5	2.1666666666666665	0.16666666666666666	3.1666666666666665	0.0	8
2020-04-06 17:50:00	1.1666666666666667	1.3333333333333333	2.1666666666666665	0.0	2.5	0.0	8
2020-04-06 17:55:00	1.25	1.625	3.5	0.0	3.875	0.25	8
2020-04-06 18:00:00	0.0	0.0	1.6666666666666667	0.0	2.6666666666666665	0.0	8
2020-04-06 18:05:00	1.8	2.6	4.0	0.0	2.2	0.4	8
2020-04-06 18:10:00	4.0	2.2	4.4	0.0	5.4	0.0	8
2020-04-06 18:15:00	0.4	0.0	2.2	0.0	2.8	0.0	8
2020-04-06 18:20:00	0.3333333333333333	0.0	2.3333333333333335	0.0	2.0	0.0	8
2020-04-06 18:25:00	0.5	1.0	3.8333333333333335	0.0	3.6666666666666665	0.16666666666666666	8
2020-04-06 18:30:00	3.0	6.0	7.0	0.0	2.0	0.0	8
2020-04-06 18:35:00	0.25	0.0	2.5	0.0	3.25	0.25	8
2020-04-06 18:40:00	0.25	0.25	1.75	0.0	2.5	0.25	8
2020-04-06 18:45:00	0.0	0.3333333333333333	1.6666666666666667	0.0	2.6666666666666665	0.3333333333333333	8
2020-04-06 18:50:00	1.25	1.5	3.5	0.0	4.75	0.0	8
2020-04-06 18:55:00	0.0	0.0	1.0	0.0	3.5	0.0	8
2020-04-06 19:00:00	4.5	3.0	6.0	0.0	6.0	0.5	8
2020-04-06 19:05:00	4.5	2.5	5.5	0.0	6.5	0.0	8
2020-04-06 19:10:00	0.5	0.5	2.5	0.0	2.5	0.0	8
2020-04-06 19:15:00	5.0	4.5	4.5	0.0	5.5	0.0	8
2020-04-06 19:20:00	0.0	0.0	1.5	0.0	3.5	0.0	8
2020-04-06 19:25:00	8.5	3.5	6.0	0.0	6.5	0.0	8
2020-04-06 19:30:00	0.0	0.0	2.0	0.0	2.0	0.0	8
2020-04-06 19:40:00	0.0	0.0	2.5	0.0	4.0	0.5	8
2020-04-06 19:45:00	5.0	6.5	7.0	0.0	2.0	0.0	8
2020-04-06 19:50:00	2.0	3.3333333333333335	4.333333333333333	0.0	3.0	0.3333333333333333	8
2020-04-06 19:55:00	0.5	0.0	2.0	0.0	3.0	0.5	8
2020-04-06 20:00:00	1.0	0.0	1.0	0.0	5.0	0.0	8
2020-04-06 20:05:00	1.5	8.5	4.5	0.0	5.5	0.5	8
2020-04-06 20:10:00	8.0	10.0	9.0	0.0	1.0	0.0	8
2020-04-06 20:20:00	3.5	7.5	7.0	0.0	4.0	0.0	8
2020-04-06 20:30:00	5.5	8.5	7.0	0.0	10.0	0.0	8
2020-04-06 20:35:00	5.0	6.0	0.0	0.0	7.0	0.0	8
2020-04-06 20:40:00	2.0	4.0	5.0	0.0	4.0	0.0	8
