DateTime	sewer_and_water	power	roads_and_bridges	medical	buildings	shake_intensity	location
2020-04-06 05:45:00	0.0	3.0	1.0	0.0	0.0	0.0	7
2020-04-06 07:00:00	0.0	4.0	9.0	0.0	0.0	0.0	7
2020-04-06 09:30:00	0.0	9.0	4.0	0.0	0.0	0.0	7
2020-04-06 13:20:00	0.0	4.0	8.0	0.0	0.0	0.0	7
2020-04-06 14:25:00	0.0	5.0	5.0	0.0	0.0	1.0	7
2020-04-06 16:30:00	0.0	3.0	3.0	0.0	0.0	0.0	7
2020-04-07 10:35:00	0.0	0.0	8.0	0.0	0.0	0.0	7
2020-04-08 08:35:00	0.0	8.0	6.0	0.0	0.0	6.0	7
2020-04-08 08:40:00	0.0	9.0	6.5	0.0	0.0	5.0	7
2020-04-08 08:45:00	0.0	7.5	6.0	0.0	0.0	5.25	7
2020-04-08 08:50:00	0.0	7.75	5.75	0.0	0.0	4.5	7
2020-04-08 08:55:00	0.0	9.0	6.333333333333333	0.0	0.0	4.666666666666667	7
2020-04-08 09:00:00	0.0	8.6	6.0	0.0	0.0	5.2	7
2020-04-08 09:05:00	0.0	8.75	6.25	0.0	0.0	4.75	7
2020-04-08 09:10:00	0.0	8.0	6.333333333333333	0.0	2.3333333333333335	4.666666666666667	7
2020-04-08 09:15:00	0.0	8.4	6.4	0.0	0.0	4.8	7
2020-04-08 09:20:00	1.0	8.0	5.714285714285714	0.0	0.0	5.285714285714286	7
2020-04-08 09:25:00	0.0	8.0	5.6923076923076925	0.0	0.0	4.923076923076923	7
2020-04-08 09:30:00	1.6666666666666667	7.666666666666667	6.0	0.0	1.3333333333333333	5.0	7
2020-04-08 09:35:00	0.0	7.4	6.0	0.0	0.0	5.0	7
2020-04-08 09:40:00	0.0	8.5	7.0	0.0	0.0	5.5	7
2020-04-08 09:45:00	0.0	7.5	6.333333333333333	0.0	0.0	5.333333333333333	7
2020-04-08 09:50:00	0.0	8.25	5.5	0.0	0.0	5.0	7
2020-04-08 09:55:00	0.0	7.0	6.0	0.0	0.0	5.0	7
2020-04-08 10:00:00	0.0	8.0	6.0	0.0	0.0	4.75	7
2020-04-08 10:05:00	0.0	7.8	6.2	0.0	0.0	5.0	7
2020-04-08 10:10:00	0.0	7.666666666666667	6.0	0.0	0.0	5.0	7
2020-04-08 10:15:00	0.0	8.0	5.5	0.0	0.0	5.0	7
2020-04-08 10:20:00	0.0	8.5	5.5	0.0	0.0	5.5	7
2020-04-08 10:25:00	0.0	7.0	6.0	0.0	0.0	5.0	7
2020-04-08 10:30:00	0.0	8.0	6.2	0.0	0.0	5.0	7
2020-04-08 10:35:00	0.0	8.0	5.0	0.0	0.0	5.0	7
2020-04-08 10:40:00	0.0	8.0	5.0	0.0	0.0	4.0	7
2020-04-08 10:45:00	0.0	8.0	6.0	0.0	0.0	4.666666666666667	7
2020-04-08 10:50:00	0.0	8.0	5.0	0.0	0.0	4.0	7
2020-04-08 10:55:00	0.0	7.666666666666667	6.333333333333333	0.0	0.0	5.333333333333333	7
2020-04-08 11:05:00	0.0	7.5	7.0	0.0	0.0	2.5	7
2020-04-08 11:10:00	0.0	8.2	5.4	0.0	0.4	4.0	7
2020-04-08 11:15:00	0.0	8.0	6.0	0.0	0.0	3.3333333333333335	7
2020-04-08 11:20:00	0.0	7.5	6.5	0.0	0.0	3.0	7
2020-04-08 11:25:00	0.0	7.0	5.0	0.0	0.0	5.0	7
2020-04-08 11:30:00	0.0	8.0	6.333333333333333	0.0	0.0	5.0	7
2020-04-08 11:35:00	0.0	8.333333333333334	6.333333333333333	0.0	0.0	5.666666666666667	7
2020-04-08 11:40:00	0.0	8.0	7.0	0.0	0.0	5.5	7
2020-04-08 11:50:00	0.0	8.666666666666666	5.666666666666667	0.0	0.0	5.333333333333333	7
2020-04-08 12:20:00	0.0	8.0	6.0	0.0	0.0	4.0	7
